date,open,high,low,close,
2015/1/5 10:00,3518,3522,3487,3494,1
2015/1/5 10:15,3494,3494,3484,3487,1
2015/1/5 11:30,3487,3507,3487,3500,1
2015/1/5 14:30,3501,3516,3491,3509,1
2015/1/5 15:00,3509,3509,3501,3507,1
2015/1/5 22:00,3490,3526,3463,3508,1
2015/1/5 23:00,3508,3534,3506,3530,1
2015/1/6 0:00,3531,3538,3496,3507,2
2015/1/6 1:00,3507,3517,3486,3495,2
2015/1/6 2:00,3494,3523,3492,3518,2
2015/1/6 2:30,3518,3529,3514,3519,2
2015/1/6 10:00,3554,3554,3511,3522,2
2015/1/6 10:15,3522,3535,3522,3526,2
2015/1/6 11:30,3525,3530,3520,3523,2
2015/1/6 14:30,3522,3533,3521,3533,2
2015/1/6 15:00,3533,3566,3533,3554,2
2015/1/6 22:00,3543,3565,3530,3542,2
2015/1/6 23:00,3542,3552,3536,3546,2
2015/1/7 0:00,3548,3560,3535,3542,3
2015/1/7 1:00,3542,3593,3540,3581,3
2015/1/7 2:00,3581,3586,3565,3572,3
2015/1/7 2:30,3573,3583,3572,3572,3
2015/1/7 10:00,3554,3570,3554,3564,3
2015/1/7 10:15,3563,3564,3560,3564,3
2015/1/7 11:30,3563,3572,3556,3561,3
2015/1/7 14:30,3561,3561,3540,3552,3
2015/1/7 15:00,3553,3558,3546,3554,3
2015/1/7 22:00,3540,3558,3538,3547,3
2015/1/7 23:00,3548,3560,3546,3553,3
2015/1/8 0:00,3554,3577,3552,3572,4
2015/1/8 1:00,3571,3573,3562,3566,4
2015/1/8 2:00,3565,3573,3564,3570,4
2015/1/8 2:30,3569,3570,3563,3566,4
2015/1/8 10:00,3548,3572,3548,3561,4
2015/1/8 10:15,3562,3564,3560,3564,4
2015/1/8 11:30,3563,3563,3545,3548,4
2015/1/8 14:30,3549,3562,3549,3556,4
2015/1/8 15:00,3557,3557,3547,3548,4
2015/1/8 22:00,3566,3570,3552,3567,4
2015/1/8 23:00,3567,3585,3562,3580,4
2015/1/9 0:00,3581,3582,3554,3556,5
2015/1/9 1:00,3557,3564,3553,3557,5
2015/1/9 2:00,3556,3562,3553,3557,5
2015/1/9 2:30,3557,3559,3548,3551,5
2015/1/9 10:00,3551,3562,3550,3557,5
2015/1/9 10:15,3556,3557,3553,3555,5
2015/1/9 11:30,3555,3556,3544,3553,5
2015/1/9 14:30,3553,3566,3550,3565,5
2015/1/9 15:00,3565,3567,3554,3555,5
2015/1/9 22:00,3545,3582,3521,3564,5
2015/1/9 23:00,3565,3572,3557,3566,5
2015/1/12 0:00,3565,3597,3563,3569,1
2015/1/12 1:00,3569,3572,3566,3570,1
2015/1/12 2:00,3569,3574,3568,3569,1
2015/1/12 2:30,3569,3571,3566,3567,1
2015/1/12 10:00,3601,3607,3577,3591,1
2015/1/12 10:15,3590,3593,3588,3588,1
2015/1/12 11:30,3589,3597,3581,3589,1
2015/1/12 14:30,3589,3608,3589,3606,1
2015/1/12 15:00,3607,3609,3599,3601,1
2015/1/12 22:00,3577,3594,3572,3591,1
2015/1/12 23:00,3591,3602,3584,3596,1
2015/1/13 0:00,3596,3599,3582,3585,2
2015/1/13 1:00,3584,3588,3583,3586,2
2015/1/13 2:00,3587,3591,3583,3588,2
2015/1/13 2:30,3588,3597,3587,3595,2
2015/1/13 10:00,3616,3637,3594,3620,2
2015/1/13 10:15,3620,3626,3620,3622,2
2015/1/13 11:30,3620,3644,3618,3628,2
2015/1/13 14:30,3628,3632,3607,3613,2
2015/1/13 15:00,3614,3622,3613,3616,2
2015/1/13 22:00,3636,3663,3636,3657,2
2015/1/13 23:00,3656,3664,3627,3638,2
2015/1/14 0:00,3638,3645,3632,3642,3
2015/1/14 1:00,3641,3663,3640,3654,3
2015/1/14 2:00,3654,3659,3651,3656,3
2015/1/14 2:30,3656,3658,3648,3655,3
2015/1/14 10:00,3608,3652,3608,3618,3
2015/1/14 10:15,3618,3619,3579,3594,3
2015/1/14 11:30,3594,3606,3585,3586,3
