date,  ,high,low,close
2020/1/2 9:05,346.24,346.24,345.58,345.64
2020/1/2 9:10,345.62,345.98,345.46,345.96
2020/1/2 9:15,345.98,346,345.78,345.8
2020/1/2 9:20,345.82,346.38,345.8,346.36
2020/1/2 9:25,346.38,346.4,346.28,346.34
2020/1/2 9:30,346.34,346.36,346.18,346.2
2020/1/2 9:35,346.2,346.4,346.12,346.4
2020/1/2 9:40,346.4,346.48,346.32,346.32
2020/1/2 9:45,346.32,346.46,346.32,346.4
2020/1/2 9:50,346.4,346.44,346.32,346.32
2020/1/2 9:55,346.32,346.34,346.22,346.3
2020/1/2 10:00,346.3,346.38,346.3,346.3
2020/1/2 10:05,346.3,346.3,346,346.1
2020/1/2 10:10,346.1,346.24,346.08,346.16
2020/1/2 10:15,346.16,346.24,346.16,346.2
2020/1/2 10:35,346.26,346.46,346.26,346.4
2020/1/2 10:40,346.42,346.46,346.34,346.42
2020/1/2 10:45,346.42,346.58,346.42,346.52
2020/1/2 10:50,346.52,346.58,346.44,346.48
2020/1/2 10:55,346.52,346.52,346.36,346.36
2020/1/2 11:00,346.36,346.48,346.36,346.46
2020/1/2 11:05,346.46,346.48,346.38,346.44
2020/1/2 11:10,346.44,346.44,346.36,346.38
2020/1/2 11:15,346.38,346.46,346.3,346.42
2020/1/2 11:20,346.42,346.46,346.2,346.22
2020/1/2 11:25,346.22,346.24,346.14,346.18
2020/1/2 11:30,346.18,346.28,346.14,346.24
2020/1/2 13:35,346.3,346.3,346.04,346.18
2020/1/2 13:40,346.18,346.26,346.1,346.22
2020/1/2 13:45,346.22,346.26,346.12,346.16
2020/1/2 13:50,346.16,346.18,346.1,346.12
2020/1/2 13:55,346.12,346.16,346.1,346.12
2020/1/2 14:00,346.12,346.14,346.04,346.06
2020/1/2 14:05,346.06,346.16,346.06,346.14
2020/1/2 14:10,346.16,346.22,346.1,346.12
2020/1/2 14:15,346.14,346.2,346.1,346.16
2020/1/2 14:20,346.16,346.16,346.04,346.08
2020/1/2 14:25,346.08,346.14,346.06,346.12
2020/1/2 14:30,346.12,346.14,346.02,346.1
2020/1/2 14:35,346.08,346.12,346.06,346.06
2020/1/2 14:40,346.08,346.14,345.96,346
2020/1/2 14:45,346,346.08,345.96,346.06
2020/1/2 14:50,346.02,346.1,345.98,346.08
2020/1/2 14:55,346.08,346.14,346.02,346.04
2020/1/2 15:00,346.06,346.26,346,346.24
2020/1/2 21:05,346.82,346.92,346.68,346.76
2020/1/2 21:10,346.76,346.78,346.58,346.68
2020/1/2 21:15,346.68,346.9,346.68,346.82
2020/1/2 21:20,346.82,347.08,346.74,347.06
2020/1/2 21:25,347.06,347.4,347.06,347.24
2020/1/2 21:30,347.24,347.24,347.04,347.12
2020/1/2 21:35,347.12,347.18,346.8,347.06
2020/1/2 21:40,347.04,347.26,347.04,347.24
2020/1/2 21:45,347.24,347.34,347.22,347.26
2020/1/2 21:50,347.26,347.36,347.24,347.34
2020/1/2 21:55,347.36,347.88,347.3,347.82
2020/1/2 22:00,347.86,348.12,347.86,347.94
2020/1/2 22:05,347.94,348.1,347.74,348.04
2020/1/2 22:10,348.04,348.04,347.84,347.96
